variable,count
irradiance,2
is_random_sample,1
isdrifter,1
iso_6,4
isobaric,6
itis_tsn,40
jack_mackerel_eggs,1
julian_date,1
julian_day,1
k490,43
kd_490,13
kd_490_bias,8
kd_490_rmsd,8
kd_par,5
kelletia_kelletii_mean_density,2
kelletia_kelletii_stddev,2
kelletia_kelletii_stderr,2
l,4
l2_lat,2
l2_lon,2
l2_time,2
l2p_flags,17
label,1
laminaria_farlowii_adult_mean_density,1
laminaria_farlowii_adult_stddev,1
laminaria_farlowii_adult_stderr,1
laminaria_farlowii_all_mean,1
laminaria_farlowii_all_mean_density,1
laminaria_farlowii_all_stddev,2
laminaria_farlowii_all_stderr,2
laminaria_farlowii_juvenile_mean_density,1
laminaria_farlowii_juvenile_stddev,1
laminaria_farlowii_juvenile_stderr,1
landings,4
larvae_1000m3,33
larvae_10m2,34
larvae_count,33
larvae_size,1
larvae_stage,1
larvae_stage_count,1
lastmodified,3
lat,3
lat_500,4
lat_coamps,1
lat_uv,1
latitude,1352
latitude_degrees,1
latitude_hemisphere,1
latitude_minutes,1
lc,1
leasename,1
leatherbacks,1
length_class,1
length_type,1
leucetta_losangelensis_mean,1
leucetta_losangelensis_stddev,1
leucetta_losangelensis_stderr,1
level,10
lflx,8
lftx,2
lftx4,2
life_stage,2
lightp,1
line,40
lithopoma_gibberosum_mean_density,1
lithopoma_gibberosum_stddev,1
lithopoma_gibberosum_stderr,1
lithopoma_undosum_mean_density,1
lithopoma_undosum_stddev,1
lithopoma_undosum_stderr,1
local_code,2
lon,3
lon_502,4
lon_coamps,1
lon_uv,1
lonflx,2
long_net_type,1
longitude,1352
longitude_degrees,1
longitude_hemisphere,1
longitude_minutes,1
longwaveatmradiation,11
longwaveatmradiation2,2
lophogorgia_chilensis_mean_density,1
lophogorgia_chilensis_stddev,1
lophogorgia_chilensis_stderr,1
lsid,1
lwn_1136,4
lytechinus_anamesus_mean_density,2
lytechinus_anamesus_stddev,2
lytechinus_anamesus_stderr,2
lythrypnus_dalli_mean_density,1
lythrypnus_dalli_stddev,1
lythrypnus_dalli_stderr,1
macrocystis_pterygophora_and_eisenia_combined_mean,1
macrocystis_pterygophora_and_eisenia_combined_stddev,1
macrocystis_pterygophora_and_eisenia_combined_stderr,1
macrocystis_pyrifera_ad_mean_density,1
macrocystis_pyrifera_ad_stddev,1
macrocystis_pyrifera_ad_stderr,1
macrocystis_pyrifera_adult_mean_density,1
macrocystis_pyrifera_adult_stddev,1
macrocystis_pyrifera_adult_stderr,1
macrocystis_pyrifera_all_mean,1
macrocystis_pyrifera_all_mean_density,1
macrocystis_pyrifera_all_stddev,2
macrocystis_pyrifera_all_stderr,2
macrocystis_pyrifera_juvenile_mean_density,1
macrocystis_pyrifera_juvenile_stddev,1
macrocystis_pyrifera_juvenile_stderr,1
macrocystis_pyrifera_stipes_for_plants_gt_1m_mean_density,1
macrocystis_pyrifera_stipes_for_plants_gt_1m_stddev,1
macrocystis_pyrifera_stipes_for_plants_gt_1m_stderr,1
macrocystis_pyrifera_subadult_mean_density,1
macrocystis_pyrifera_subadult_stddev,1
macrocystis_pyrifera_subadult_stderr,1
magnitude_gradient,3
male,1
mantle_length,1
market_category,1
mask,13
match_type,1
maturity,1
max_sample_depth,2
maxslp,1
mean_sst,1
meanap,1
meanaq,1
meanas,1
measuredtemperature,1
measurementformation,1
megathura_crenulata_mean_density,1
megathura_crenulata_stddev,1
megathura_crenulata_stderr,1
meris_nobs,3
meris_nobs_sum,7
mesh_size,1
min_sample_depth,2
miscellaneous_brown_algae_mean,1
miscellaneous_brown_algae_stddev,1
miscellaneous_brown_algae_stderr,1
miscellaneous_bryozoans_mean,1
miscellaneous_bryozoans_stddev,1
miscellaneous_bryozoans_stderr,1
miscellaneous_invertebrates_excluding_ophiothrix_spiculata_mean,1
miscellaneous_invertebrates_excluding_ophiothrix_spiculata_stddev,1
miscellaneous_invertebrates_excluding_ophiothrix_spiculata_stderr,1
miscellaneous_invertebrates_including_ophiothrix_spiculata_mean,1
miscellaneous_invertebrates_including_ophiothrix_spiculata_stddev,1
miscellaneous_invertebrates_including_ophiothrix_spiculata_stderr,1
miscellaneous_plants_mean,1
miscellaneous_plants_stddev,1
miscellaneous_plants_stderr,1
miscellaneous_red_algae_mean,1
miscellaneous_red_algae_stddev,1
miscellaneous_red_algae_stderr,1
mld,1
mlp,1
mmsi,1
mod,40
mod_current,40
modisa_nobs,3
modisa_nobs_sum,7
modstress,40
month,4
mose,1
muricea_californica_mean_density,1
muricea_californica_stddev,1
muricea_californica_stderr,1
muricea_fruticosa_mean_density,1
muricea_fruticosa_stddev,1
muricea_fruticosa_stderr,1
mwd,1
n,5
n_n,1
name,3
navigationstatus,1
net_location,38
net_type,39
netlongwaveradiation,1
netshortwaveradiation,1
nh3q,1
nh3ug,1
nh4,1
nino1_2_sst,1
nino1_2_ssta,1
nino34_sst,1
nino34_ssta,1
nino3_sst,1
nino3_ssta,1
nino4_sst,1
nino4_ssta,1
nlw_410,5
nlw_443,5
nlw_486,5
nlw_551,5
nlw_638,2
nlw_671,5
no2,1
no2q,1
no2ug,1
no3,1
no3q,1
no3ug,1
nobs,16
nodc_code,2
noix,1
nominal_species,1
northatlanticrightwhale_presence,22
northcurrent,26
notes,1
number,2
number_adj,1
number_averaged_spectra,2
number_of_radials,11
number_of_sample_gaps,1
number_of_samples_per_spectrum,1
number_of_sites,10
number_sample_gaps,1
number_samples_per_spectrum,1
o,1
o2ml_l,1
o2satq,1
o_qual,1
ob_clm,1
ob_csgm,1
ob_glb,1
ob_gsgm,1
ob_qc,1
ob_rcpt,1
ob_rgn,1
ob_rsgm,1
ob_sign,1
ob_sst,1
ob_typ,1
ob_wm,1
observationuri,1
odo,4
odosat,4
olci_nobs,1
olci_nobs_sum,3
olcsvfile,1
olid,1
olnetcdffile,1
omega,2
operator,1
ophiothrix_spiculata_mean,1
ophiothrix_spiculata_stddev,1
ophiothrix_spiculata_stderr,1
or_number_of_pixels,2
order_occ,1
order_occupied,40
org,1
orig_sta_id,1
other_fish_eggs,1
othername,1
oxygen,3
oxygen_volt,1
oxyjulis_californica_adult,1
oxyjulis_californica_juvenile,1
oxylebius_pictus_mean_density,1
oxylebius_pictus_stddev,1
oxylebius_pictus_stderr,1
p_msl,4
p_qc,1
p_qual,1
pachythyone_rubra_mean,1
pachythyone_rubra_stddev,1
pachythyone_rubra_stderr,1
panulirus_interruptus_mean_density,1
panulirus_interruptus_stddev,1
panulirus_interruptus_stderr,1
par,40
par_den_2_avg,1
par_den_avg,2
paralabrax_clathratus_adult,1
paralabrax_clathratus_juvenile,1
parastichopus_parvimensis_mean_density,1
parastichopus_parvimensis_stddev,1
parastichopus_parvimensis_stderr,1
particulate_domoic,8
pathfinder_quality_level,4
pct_bad,1
pct_good_3_beam,1
pct_good_4_beam,1
pct_rejected,1
pcui33n,1
pcui36n,1
pcui39n,1
pcui42n,1
pcui45n,1
pcui48n,1
peco,1
peco_rs,1
peco_sd,1
perc_counted,1
percent_saturation,1
percent_sorted,38
period_between_significant_waves,1
ph,4
phaeo,1
phaeo_10um,1
phaeo_total,1
phaeop,1
phaqua,1
phmv,4
photoactatmradiation,9
phragmatopoma_californica_mean,1
phragmatopoma_californica_stddev,1
phragmatopoma_californica_stderr,1
phytoflash,1
pic,15
pigu,1
pigu_flatfish,1
pigu_mean,1
pigu_other,1
pigu_rockfish,1
pigu_rs,1
pigu_sculpin,1
pigu_sd,2
pisaster_giganteus_mean_density,2
pisaster_giganteus_stddev,2
pisaster_giganteus_stderr,2
plain_station,1
platform,54
platform_id,1
platform_orientation,1
platform_pitch_angle,1
platform_roll_angle,1
platform_type,1
platform_version,53
platformcourse,53
platformheading,53
platformheading2,3
platformspeed,53
platformwaterspeed,2
platformwinddirection,49
platformwinddirection2,14
platformwinddirection3,3
platformwindspeed,49
platformwindspeed2,14
platformwindspeed3,3
pmsl,3
po4,1
po4q,1
po4ug,1
poc,15
polymastia_pachymastia_mean,1
polymastia_pachymastia_stddev,1
polymastia_pachymastia_stderr,1
port,4
pottmp,2
pounds,1
pr_wtr,2
practical_salinity,1
pratesfc,1
prc_cflh,1
prc_chla,2
precip,4
precipitationamount,10
precipitationamount2,5
precipitationamount3,3
precise_lat,1
precise_lat_qc,1
precise_lon,1
precise_lon_qc,1
precise_time,1
precise_time_qc,1
predictedwl,2
pres,2
pres_reduced_msl,6
pressure,9
prho,2
prmslmsl,1
productivity,19
profile_id,1
profile_qc,1
program,2
project,2
psdcsvfile,1
psdid,1
psdnetcdffile,1
pseudo_nitzschia,8
pst_lan,1
ptdy,1
pterygophora_californica_adult_mean_density,1
pterygophora_californica_adult_stddev,1
pterygophora_californica_adult_stderr,1
pterygophora_californica_all_mean,1
pterygophora_californica_all_mean_density,1
pterygophora_californica_all_stddev,2
pterygophora_californica_all_stderr,2
pterygophora_californica_juvenile_mean_density,1
pterygophora_californica_juvenile_stddev,1
pterygophora_californica_juvenile_stderr,1
pycnopodia_helianthoides_mean_density,2
pycnopodia_helianthoides_stddev,2
pycnopodia_helianthoides_stderr,2
qat_5021,4
qbf_5191,4
qbp_5915,4
qcd_5310,4
qcs_5300,4
qd_5013,4
qe_5250,4
qemp_5251,4
qi_5006,4
ql_136,4
ql_137,4
qlw_5136,8
qq0_5210,4
qql_5137,4
qqr_5139,4
qqs_5138,4
qr_139,4
qrh_5910,4
qrn_5485,4
qs_138,4
qs_5041,8
qsminq,6
qst_5071,8
qsw_5495,8
qt_210,4
qt_5020,4
qt_5025,4
qtau_5440,4
qtot,2
qu_5205,4
qual_sst,1
quality_flags,6
quality_level,6
quarter,1
qv_5206,4
qwd_5410,4
qws_5401,4
qx_5502,4
qy_5500,4
r,9
r488_filled,8
r555_filled,8
r667,16
r671,12
r_chla,1
r_depth,1
r_dynht,2
r_no2,1
r_no3,1
r_o2,1
r_o2sat,2
r_phaeo,1
r_po4,1
r_potemp,2
r_pres,2
r_salinity,1
r_samp,2
r_sigma,1
r_sio3,1
r_sva,2
r_temp,1
rain_tot,2
rainrate,7
rainrate2,4
rainrate3,4
rd_495,4
rdp_497,4
rds_496,4
recind,1
redgrouper_detection_count,1
region,1
region_caught,1
relatedresource,1
relative_humidity,2
relativehumidity,51
relativehumidity2,6
relativehumidity3,4
remaining_weight,1
remarks,1
resist,4
rf,1
rh,3
rh2m,1
rh_910,4
rhau_anchovy,1
rhau_mean,1
rhau_other,1
rhau_rockfish,1
rhau_rs,1
rhau_saury,1
rhau_sd,2
rhum,10
rn_485,4
rnp_487,4
rns_486,4
rock_mean,1
rock_stddev,1
rock_stderr,1
rot,1
rpt_line,1
rpt_sta,1
rrs_412,10
rrs_412_bias,8
rrs_412_rmsd,8
rrs_443,10
rrs_443_bias,8
rrs_443_rmsd,8
rrs_490,10
rrs_490_bias,8
rrs_490_rmsd,8
rrs_510,10
rrs_510_bias,8
rrs_510_rmsd,8
rrs_555,6
rrs_555_bias,4
rrs_555_rmsd,4
rrs_560,4
rrs_560_bias,4
rrs_560_rmsd,4
rrs_665,4
rrs_665_bias,4
rrs_665_rmsd,4
rrs_670,6
rrs_670_bias,4
rrs_670_rmsd,4
s_41,8
s_prec,1
s_qc,1
s_qual,1
sal,1
sal00,1
sal11,1
salinity,73
salnty,1
salt,4
sample,1
sample_id,2
sample_number,1
sample_quality,38
sand_mean,1
sand_stddev,1
sand_stderr,1
sardine_eggs,1
sargassum_spp_mean,1
sargassum_spp_stddev,1
sargassum_spp_stderr,1
sat_6021,4
satellite_zenith_angle,2
sbp_6915,4
sci_name,1
scientific_name,40
scs_6300,4
sdir,1
sea_floor_depth,2
sea_ice_fraction,21
sea_level_pressure,2
sea_surface_temperature,20
sea_surface_temperature_anomaly,1
sea_water_density,2
sea_water_electrical_conductivity,2
sea_water_salinity,4
sea_water_speed,3
sea_water_temperature,5
sealions,1
seatemperature,49
seatemperature2,5
seawifs_nobs,3
seawifs_nobs_sum,7
sebastes_atrovirens_adult,1
sebastes_atrovirens_juvenile,1
sebastes_mystinus_adult,1
sebastes_mystinus_juvenile,1
sebastes_serranoides_adult,1
sebastes_serranoides_juvenile,1
secchi,1
segment_id,1
seiwhale_presence,22
semicossyphus_pulcher_female,1
semicossyphus_pulcher_juvenile,1
semicossyphus_pulcher_male,1
sensor,9
sensor_id,11
serialnumber,1
serpulorbis_squamigerus_mean,1
serpulorbis_squamigerus_stddev,1
serpulorbis_squamigerus_stderr,1
sex,1
sex_undetermined,1
sfcwind,2
sfcwindnobs,2
sfcwindstderr,2
sflx,8
shefid,16
shgt,1
ship,46
ship_code,43
ship_name,1
ship_spd_through_water,1
ship_station,1
shortwaveatmradiation,17
shortwaveatmradiation2,2
shum,8
si,1
sic,1
sic_7041,4
sic_8041,4
sigma,5
significant_wave_height,1
sio3qu,1
sio3ug,1
site,55
size,4
skufa1,1
skufa2,1
sla,1
slp,10
slrw_avg,2
slw_6136,8
small_plankton_volume,1
smina,6
sog,1
soi,1
soix,1
solflx,2
sorted_plankton_volume,1
sound_pressure_levels,147
sound_pressure_spectral_density_levels,49
spcond,4
species,2
species_code,2
species_group,2
species_name,1
species_notes,1
specimen_number,1
sper,1
spirobrancus_spinosus_mean,1
spirobrancus_spinosus_stddev,1
spirobrancus_spinosus_stderr,1
sponges_mean,1
sponges_stddev,1
sponges_stderr,1
spuddate,1
squid_eggs,1
srh_6910,4
srn_6485,4
ss_6041,8
sses_bias,2
sses_standard_deviation,2
ssh,8
ssh_time,1
sshag,2
sshd,4
sss,10
sss_dif,3
sss_ran_unc,1
sss_sys_unc,1
sst,208
sst_6071,8
sst_anomaly,2
sst_cycle,1
sst_dtime,2
sst_seasonal,1
sst_time,1
sst_trend,1
ssta,4
sstanom,2
sstanomaly,14
sstgrad,1
sstmasked,6
ssw,1
ssw_6495,4
st_6020,4
st_6025,4
st_line,1
st_station,1
sta_code,1
sta_id,3
standard_depth,1
standard_deviation,1
standard_haul_factor,38
standard_length,1
start_pump_speed,1
start_salinity,1
start_temperature,1
start_wind_direction,1
start_wind_speed,1
state,17
station,166
station_active,1
station_bottom_depth,1
station_code,1
station_id,38
station_latitude,1
station_longitude,1
station_notes,1
stationid,17
stationname,17
std_dev_wind_direction,1
std_dev_wind_speed,1
stderr,2
sth_71,8
stheta,1
sthtaq,1
stop_latitude,2
stop_longitude,2
stop_pump_speed,1
stop_salinity,1
stop_temperature,1
stop_time,1
stop_wind_direction,1
stop_wind_speed,1
strata,1
strongylocentrotus_franciscanus_mean_density,1
strongylocentrotus_franciscanus_stddev,1
strongylocentrotus_franciscanus_stderr,1
strongylocentrotus_purpuratus_mean_density,1
strongylocentrotus_purpuratus_stddev,1
strongylocentrotus_purpuratus_stderr,1
styela_montereyensis_mean_density,1
styela_montereyensis_stddev,1
styela_montereyensis_stderr,1
stylaster_californica_mean_density,1
stylaster_californica_stddev,1
stylaster_californica_stderr,1
sub_heading,1
sub_temperature,1
subsample_count,1
subsample_weight,1
surf_el,8
surface_salinity_trend,2
surface_temp,1
surface_temp_method,1
surface_temperature,2
surface_temperature_trend,2
swd_6410,4
swn_1495,4
swordfish,1
sws_6401,4
t_20,4
t_25,4
t_degc,1
t_prec,1
t_qc,1
t_qual,1
ta1,1
ta2,1
target_waypoint,1
task_id,5
tau,4
tau_440,4
taux,50
taux_mean,6
tauy,50
tauy_mean,6
td_445,4
tdir,1
tdr_depth,1
tds,4
tegula_regina_mean_density,1
tegula_regina_stddev,1
tegula_regina_stderr,1
telemetry,1
temp,4
temperature,30
temperature0,1
temperature1,1
tethya_aurantia_mean_density,1
tethya_aurantia_stddev,1
tethya_aurantia_stderr,1
thgt,1
tide,1
time,1637
time_ascii,1
time_uv,1
timesincecirculation,1
timezone,1
tmp2m,1
tmp_2maboveground,1
tmpsfc,1
tolcsvfile,1
tolid,1
tolnetcdffile,1
topo,14
toppid,1
tos,2
tosnobs,2
tosstderr,2
total_eggs,1
total_juveniles_or_adults,1
total_larvae,1
total_length,1
total_nobs,3
total_nobs_sum,7
total_plankton_volume,1
total_power,1
tow_number,38
tow_type,38
tper,1
trajectory,3
trans_id,1
trans_no,1
transect,1
transmissivity,1
trueverticaldepth,1
ts_salinity,1
ts_temperature,1
ttlpcp,1
tunicates_mean,1
tunicates_stddev,1
tunicates_stderr,1
tupu,1
turbid,4
tx_442,4
ty_443,4
type,3
u,27
u_1205,4
u_320,4
u_current,45
u_mean,6
u_velocity,2
uairt,6
uas,2
uasnobs,2
uasstderr,2
ugos,1
ugrd10m,1
ulflx,6
um,2
unix_timestamp,4
upstr,12
upward_air_velocity,1
upward_sea_water_velocity,1
upwelling,40
upwelling_index,45
upwelling_index_anomaly,30
url,3
urticina_lofotensis_mean_density,1
urticina_lofotensis_stddev,1
urticina_lofotensis_stderr,1
uspeh,6
uv_mag,2
uv_mag_mean,6
uv_qc,1
uwnd,17
v,27
v_1206,4
v_321,4
v_current,45
v_mean,6
v_velocity,2
vairt,6
vas,2
vasnobs,2
vasstderr,2
vehiclename,8
vertical_position,1
vessel,1
vgos,1
vgrd10m,1
viirs_nobs,3
viirs_nobs_sum,7
vis,2
visibility,1
visibility_in_air,2
vlflx,6
vm,2
vol_filt,2
volume_sampled,38
vpstr,12
vspeh,6
vwnd,17
w,8
w_velocity,1
water_class1,10
water_class10,10
water_class11,10
water_class12,10
water_class13,10
water_class14,10
water_class2,10
water_class3,10
water_class4,10
water_class5,10
water_class6,10
water_class7,10
water_class8,10
water_class9,10
water_depth,2
water_level,1
water_speed,1
water_temp,8
water_u,19
water_v,19
waterlevel,6
wave_dir,1
wave_direction,1
wave_height,3
wave_ht,1
wave_prd,1
wd,2
wd_410,4
wdir,1
wea,1
weather,1
wegu,1
wegu_rs,1
wegu_sd,1
weight,1
wellboreshape,1
wellname,1
welltype,1
wet_t,1
wg,1
whgt,1
wind_dir,1
wind_from_direction,3
wind_gust,2
wind_spd,1
wind_speed,22
wind_speed_of_gust,1
wind_time,1
winddir_du_wvt,2
winddir_sdu_wvt,2
winddirection,52
winddirection2,14
winddirection3,4
windspeed,51
windspeed2,14
windspeed3,4
windspeedbow,1
wmo_id,1
wmo_platform_code,116
wnd_ucmp_height_above_ground,12
wnd_vcmp_height_above_ground,12
wper,1
ws,1
ws_401,4
ws_max,2
ws_s_wvt,2
ws_u_wvt,2
wspd,14
wspd3,6
